,CVE_DOC,FECHA_ENT,FECHA_VEN,CAN_TOT
0,F31495,2020-03-13,2020-03-28,900.0000000000001
1,F34012,2021-01-27,2021-01-27,1560.0000000000002
2,F37241,2022-02-01,2022-01-31,2118.0
3,F37242,2022-02-03,2022-01-31,1250.0
4,F37243,2022-01-21,2022-01-31,2468.0
5,F37244,2022-01-31,2022-01-31,2500.0
6,F37245,2022-01-31,2022-01-31,1896.5517000000002
7,F37246,2022-01-31,2022-01-31,15711.706800000002
8,F37247,2022-01-31,2022-01-31,411.62750000000005
9,F37248,2022-01-31,2022-01-31,344.85
10,F38147,2022-05-03,2022-06-11,1500.0000000000002
11,F36128,2021-09-13,2021-09-13,125184.16
12,F36130,2021-09-13,2021-09-13,125184.16
13,F36284,2021-09-29,2021-10-07,114097.66999999993
14,F29750,2019-10-02,2019-10-17,2655.0
15,F30466,2019-11-25,2019-12-18,2655.0
16,F30523,2019-12-02,2019-12-24,4606.8
17,F31146,2020-02-10,2020-02-29,5310.0
18,F32238,2020-06-29,2020-07-28,5310.0
19,F32300,2020-07-10,2020-08-05,4606.8
20,F32634,2020-08-25,2020-09-09,2458.75
21,F33249,2020-10-22,2020-11-11,2655.0
22,F33728,2020-12-11,2020-12-30,2764.0800000000004
23,F34909,2021-04-23,2021-05-13,4606.8
24,F36953,2021-12-10,2022-01-01,3899.0
25,F37125,2022-01-18,2022-02-01,2655.0
26,F37964,2022-04-20,2022-05-10,27409.6
27,F29782,2019-10-04,2019-11-03,7590.000000000001
28,F30596,2019-12-11,2020-01-16,6987.500000000001
29,F30614,2019-12-16,2020-01-16,9108.0
30,F31580,2020-03-11,2020-04-22,3493.7500000000005
31,F31602,2020-03-11,2020-04-23,3493.7500000000005
32,F31631,2020-03-03,2020-04-26,7400.0
33,F32506,2020-07-30,2020-09-11,7476.7
34,F33647,2020-11-25,2021-01-06,11529.36
35,F33980,2021-01-15,2021-02-24,13496.000000000002
36,F34049,2021-01-29,2021-02-28,11529.362000000001
37,F35372,2021-06-15,2021-07-22,1900.0000000000002
38,F35381,2021-06-16,2021-07-23,10481.25
39,F35699,2021-07-27,2021-08-28,9108.0
40,F36456,2021-10-22,2021-11-19,9108.0
41,F36999,2021-12-16,2022-01-22,9108.0
42,F37429,2022-02-17,2022-03-23,9108.0
43,F38539,2022-07-07,2022-07-07,467.67
44,F30341,2019-11-22,2019-11-22,144.0
45,F32708,2020-08-25,2020-08-31,2430.0
46,F34033,2021-01-27,2021-01-29,1620.0
47,F34034,2021-01-27,2021-01-29,810.0000000000001
48,F37986,2022-04-22,2022-04-26,1152.6000000000001
49,F39251,2022-09-27,2022-10-05,1152.6000000000001
50,F40100,2023-01-16,2023-02-07,1829.3500000000001
51,F33863,2021-01-11,2021-01-11,541.2
52,F29691,2019-09-30,2019-10-30,3150.0000000000005
53,F30005,2019-10-23,2019-11-22,3150.0000000000005
54,F31032,2020-02-06,2020-03-07,3150.0
55,F31305,2020-02-27,2020-03-28,3150.0
56,F31513,2020-03-17,2020-04-16,3150.0000000000005
57,F31916,2020-05-28,2020-07-02,3150.0000000000005
58,F32443,2020-07-29,2020-09-04,3150.0000000000005
59,F32770,2020-09-07,2020-10-07,1575.0000000000002
60,F33036,2020-10-07,2020-11-06,1575.0000000000002
61,F33490,2020-11-24,2020-12-24,3150.0000000000005
62,F33803,2020-09-07,2021-02-04,3150.0
63,F34391,2021-03-02,2021-04-01,3150.0
64,F34702,2021-03-31,2021-05-06,1440.0000000000002
65,F35057,2021-05-17,2021-06-16,3150.0000000000005
66,F35421,2021-06-28,2021-07-28,3150.0000000000005
67,F35749,2021-08-03,2021-09-02,3150.0000000000005
68,F37460,2022-02-24,2022-03-26,3150.0000000000005
69,F37601,2022-03-10,2022-04-09,1575.0000000000002
70,F29435,2019-09-06,2019-10-06,1196.6
71,F29533,2019-09-18,2019-10-18,17230.0
72,F29537,2019-09-18,2019-10-18,37000.0
73,F29660,2019-09-26,2019-10-26,17230.0
74,F30053,2019-10-23,2019-11-27,54230.0
75,F30324,2019-11-15,2019-12-21,13962.000000000002
76,F31199,2020-02-20,2020-03-21,373.9
77,F31200,2020-02-25,2020-03-21,13962.000000000002
78,F31258,2020-02-25,2020-03-26,1255.0
79,F32938,2020-09-28,2020-10-28,1660.0000000000002
80,F34987,2021-05-05,2021-05-05,397.16
81,F39012,2022-09-08,2022-09-08,182.97
82,F29648,2019-09-25,2019-09-25,267.24
83,F32155,2020-07-02,2020-07-02,332.28
84,F34699,2021-04-06,2021-04-06,259.76
85,F35675,2021-07-27,2021-07-27,465.54
86,F37013,2021-12-23,2021-12-23,6034.4827
87,F37143,2021-12-20,2022-01-19,12769.6
88,F38472,2022-06-09,2022-06-28,2742.0
89,F38764,2022-08-08,2022-08-08,310.0
90,F39509,2022-11-07,2022-11-07,705.0
91,F29594,2019-09-19,2019-10-05,2900.0
92,F31259,2020-02-21,2020-03-11,2100.0
93,F32367,2020-07-28,2020-08-12,6557.000000000001
94,F33489,2020-11-19,2020-12-09,4759.3640000000005
95,F34356,2021-02-25,2021-03-13,9200.0
96,F34588,2021-03-23,2021-04-07,275.0
97,F35279,2021-04-16,2021-06-25,13500.000000000002
98,F36112,2021-09-02,2021-09-25,3500.0
99,F36911,2021-12-10,2021-12-25,2750.0
100,F36997,2021-12-23,2022-01-07,6540.0
101,F32220,2020-06-25,2020-07-10,1427.6000000000001
102,F32221,2020-06-25,2020-07-10,1427.6
103,F32222,2020-06-25,2020-07-10,1427.6
104,F32229,2020-06-25,2020-07-13,1427.6000000000001
105,F32230,2020-06-25,2020-07-13,1427.6000000000001
106,F32396,2020-07-16,2020-07-30,1427.6000000000001
107,F32397,2020-07-16,2020-07-30,1427.6000000000001
108,F32398,2020-07-16,2020-07-30,1427.6000000000001
109,F37116,2022-01-14,2022-01-29,3937.5000000000005
110,F39756,2022-12-07,2022-12-28,18900.0
111,F40194,2023-02-21,2023-03-08,755.0
112,F30168,2019-11-06,2019-11-06,2517.2000000000003
113,F30172,2019-11-06,2019-11-06,2170.0
114,F30416,2019-11-14,2019-12-13,29750.000000000004
115,F30481,2019-12-04,2019-12-19,17364.0
116,F31023,2020-02-05,2020-02-21,3190.0000000000005
117,F31107,2020-02-05,2020-02-26,2750.0
118,F32049,2020-06-23,2020-07-08,1426.2500000000002
119,F32179,2020-07-07,2020-07-22,1426.2500000000002
120,F32641,2020-08-28,2020-09-10,6578.36
121,F32901,2020-09-09,2020-10-08,955.44
122,F33058,2020-10-08,2020-10-23,5671.0
123,F33195,2020-10-14,2020-11-05,6872.8
124,F36217,2021-09-20,2021-10-08,753.8
125,F37711,2022-03-22,2022-04-07,7903.200000000001
126,F29563,2019-09-19,2019-10-04,249.05
127,F30129,2019-11-04,2019-11-19,74.76
128,F30604,2019-12-17,2020-01-01,683.5000000000001
129,F35031,2021-05-12,2021-05-27,678.95
130,F35273,2021-06-09,2021-06-24,996.546
131,F35367,2021-06-21,2021-07-06,3150.0000000000005
132,F31590,2020-03-23,2020-03-23,2269.2400000000002
133,F33641,2020-12-04,2020-12-04,802.7
134,F35046,2021-05-13,2021-05-13,2731.9080000000004
135,F35113,2021-05-21,2021-05-21,7285.088000000001
136,F36575,2021-11-03,2021-11-04,384.0
137,F38363,2022-06-13,2022-06-13,586.6
138,F39148,2022-09-26,2022-09-26,465.20000000000005
139,F30796,2020-01-13,2020-01-15,2562.0
140,F33474,2020-11-18,2020-11-20,2758.6206
141,F35908,2021-08-19,2021-08-20,11172.42
142,F36308,2021-09-30,2021-09-30,942.0
143,F36397,2021-10-07,2021-10-12,942.0000000000001
144,F37806,2022-03-31,2022-03-31,8376.75
145,F37903,2022-03-30,2022-04-13,11169.000000000002
146,F31144,2019-12-11,2020-02-14,432.76000000000005
147,F31145,2019-12-11,2020-02-14,432.76000000000005
148,F31443,2020-03-09,2020-03-09,168.0
149,F31956,2020-06-09,2020-06-09,369.4109
150,F32629,2020-08-17,2020-08-25,1525.8500000000001
151,F35641,2021-06-23,2021-07-22,5551.2
152,F38702,2022-08-04,2022-07-29,1369.18
153,F38879,2022-08-23,2022-08-23,550.0
154,F39052,2022-09-14,2022-09-14,517.89
155,F29685,2019-09-19,2019-09-27,5392.320000000001
156,F29967,2019-10-04,2019-10-21,6937.500000000001
157,F29581,2019-09-20,2019-09-20,2034.0000000000002
158,F33572,2020-11-30,2020-11-30,1724.1379000000002
159,F35193,2021-05-21,2021-07-12,5500.0
160,F36437,2021-10-15,2021-11-29,2800.5000000000005
161,F39871,2021-10-20,2023-02-20,2800.5
162,F39921,2023-01-10,2023-02-27,26100.000000000004
163,F39934,2023-01-10,2023-03-04,26100.000000000004
164,F40108,2023-02-03,2023-03-25,9499.95
165,F40227,2023-02-23,2023-04-10,23099.88
166,F40228,2023-02-27,2023-04-10,9023.99
167,F40300,2023-03-01,2023-04-17,4667.5
168,F29470,2019-09-11,2019-09-11,500.0
169,F29867,2019-10-10,2019-10-10,172.36200000000002
170,F33270,2020-10-29,2020-10-29,300.0
171,F34289,2021-02-22,2021-02-22,600.0
172,F35248,2021-06-03,2021-06-03,600.0
173,F37079,2022-01-07,2022-01-07,422.0
174,F37330,2022-02-10,2022-02-10,2033.35511
175,F38040,2022-04-29,2022-04-29,600.0
176,F38041,2022-04-29,2022-04-29,290.67240000000004
177,F38956,2022-08-30,2022-08-31,2212.952
178,F40019,2023-01-27,2023-01-27,600.0
179,F33477,2020-11-18,2020-11-23,1287.5
180,F34120,2021-02-05,2021-02-05,5424.2880000000005
181,F35893,2021-08-19,2021-08-19,432.00000000000006
182,F35896,2021-08-20,2021-08-20,432.0
183,F35938,2021-08-24,2021-08-24,862.2
184,F30449,2019-11-29,2019-11-29,6649.500000000001
185,F30588,2019-12-11,2019-12-16,6649.5
186,F38217,2022-05-20,2022-05-23,6528.000000000001
187,F32647,2020-08-24,2020-08-26,28760.000000000004
188,F29607,2019-09-20,2019-10-23,1054.0
189,F29608,2019-09-20,2019-10-23,1054.0
190,F29621,,2019-10-23,1230.0
191,F29795,2019-09-26,2019-11-03,1054.0
192,F29911,2019-10-09,2019-11-14,1230.0
193,F30223,2019-10-28,2019-12-12,1230.0
194,F30866,2020-01-21,2020-02-21,3700.0000000000005
195,F31052,2020-01-31,2020-03-08,2125.5
196,F31053,2020-01-21,2020-03-08,1850.0000000000002
197,F31154,2020-02-19,2020-03-18,3700.0000000000005
198,F31168,2020-02-19,2020-03-19,1230.0
199,F31238,2020-02-26,2020-03-25,1954.0
200,F31435,2020-03-05,2020-04-08,2000.0
201,F31597,2020-03-25,2020-04-23,1779.0000000000002
202,F31598,2020-04-03,2020-04-23,4000.0000000000005
203,F31928,2020-06-02,2020-07-04,1500.0000000000002
204,F31929,2020-06-02,2020-07-04,1500.0000000000002
205,F32079,2020-06-02,2020-07-26,1230.0
206,F32142,2020-07-02,2020-08-01,895.5000000000001
207,F32377,2020-07-21,2020-08-28,1954.0
208,F32439,2020-08-06,2020-09-04,3700.0000000000005
209,F32580,2020-08-14,2020-09-18,1230.0
210,F32737,2020-09-03,2020-10-03,895.5
211,F32880,2020-09-21,2020-10-21,261.0
212,F32898,2020-09-23,2020-10-23,895.5
213,F32907,2020-09-28,2020-10-24,2460.0
214,F33050,2020-10-08,2020-11-07,895.5000000000001
215,F33885,2021-01-12,2021-01-13,1500.0000000000002
216,F33985,2021-01-21,2021-01-26,3355.5
217,F34320,2021-02-18,2021-03-26,1054.0
218,F34768,2021-04-09,2021-05-13,1230.0
219,F34815,2021-04-19,2021-05-19,1211.0725000000002
220,F34975,2021-05-05,2021-06-04,1500.0
221,F34976,2021-05-03,2021-06-04,1230.0
222,F35107,2021-05-18,2021-06-19,1791.0000000000002
223,F35124,2021-05-24,2021-06-23,315.55
224,F35415,2021-06-15,2021-07-25,3700.0000000000005
225,F35565,2021-07-07,2021-08-13,1230.0
226,F35620,2021-07-21,2021-08-20,315.55
227,F35724,2021-07-27,2021-08-29,4200.0
228,F35754,2021-08-04,2021-09-03,315.5725
229,F36048,2021-09-09,2021-10-03,1545.55
230,F36093,2021-09-08,2021-10-08,1500.0000000000002
231,F36174,2021-09-17,2021-10-17,2800.0000000000005
232,F36321,2021-09-30,2021-11-03,5700.000000000001
233,F36455,2021-10-20,2021-11-19,1230.0
234,F36581,2021-11-04,2021-12-04,315.55
235,F37319,2022-02-09,2022-03-11,1054.0
236,F37588,2022-03-04,2022-04-08,1500.0
237,F37740,2022-03-23,2022-04-27,3700.0000000000005
238,F38146,2022-05-05,2022-06-11,315.57250000000005
239,F38509,2022-06-24,2022-08-03,1054.0
240,F38515,2022-07-04,2022-08-03,315.57250000000005
241,F38542,2022-07-06,2022-08-06,1230.0
242,F38700,2022-07-28,2022-08-28,4125.0
243,F38810,2022-08-12,2022-09-11,6311.000000000001
244,F38882,2022-08-24,2022-09-22,1230.0
245,F39317,2022-10-20,2022-11-16,315.55
246,F39495,2022-11-04,2022-12-04,315.55
247,F39496,2022-11-04,2022-12-04,1500.0000000000002
248,F39551,2022-11-11,2022-12-11,6311.000000000001
249,F39677,2022-11-29,2022-12-30,12622.000000000002
250,F39678,2022-11-25,2022-12-30,1230.0
251,F39720,2022-12-07,2023-01-06,12622.000000000002
252,F39721,2022-12-07,2023-01-06,1230.0
253,F39947,2023-01-17,2023-02-18,315.55
254,F39954,2023-01-17,2023-02-19,1230.0
255,F40092,2023-02-03,2023-03-09,1500.0
